club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season,country
Middlesbrough FC,Tommy Wright,26.0,Left Winger,Leicester,€910Th.,in,Summer,0.91,Premier League,1992,1992/1993,England
Middlesbrough FC,Jonathan Gittens,28.0,defence,Southampton,€250Th.,in,Summer,0.25,Premier League,1992,1992/1993,England
Norwich City,Mark Robins,22.0,Centre-Forward,Man Utd,€1.00m,in,Summer,1.0,Premier League,1992,1992/1993,England
Oldham Athletic,Ian Olney,22.0,Centre-Forward,Aston Villa,€894Th.,in,Summer,0.894,Premier League,1992,1992/1993,England
Oldham Athletic,Neil Pointon,27.0,Left-Back,Man City,€675Th.,in,Summer,0.675,Premier League,1992,1992/1993,England
Oldham Athletic,Steve Redmond,24.0,Centre-Back,Man City,€450Th.,in,Summer,0.45,Premier League,1992,1992/1993,England
Sheffield Wednesday,Mark Bright,30.0,Centre-Forward,Crystal Palace,€1.70m,in,Summer,1.7,Premier League,1992,1992/1993,England
Sheffield Wednesday,Chris Waddle,31.0,Attacking Midfield,Marseille,€1.50m,in,Summer,1.5,Premier League,1992,1992/1993,England
Wimbledon FC,Dean Holdsworth,23.0,Centre-Forward,Brentford,€1.00m,in,Summer,1.0,Premier League,1992,1992/1993,England
Wimbledon FC,Vinnie Jones,27.0,Defensive Midfield,Chelsea,€830Th.,in,Summer,0.83,Premier League,1992,1992/1993,England
Wimbledon FC,Greg Berry,21.0,midfield,Leyton Orient,€313Th.,in,Summer,0.313,Premier League,1992,1992/1993,England
Coventry City,Phil Babb,21.0,Centre-Back,Bradford,€735Th.,in,Summer,0.735,Premier League,1992,1992/1993,England
Coventry City,John Williams,24.0,Centre-Forward,Swansea,€300Th.,in,Summer,0.3,Premier League,1992,1992/1993,England
Manchester United,Dion Dublin,23.0,Centre-Forward,Cambridge Utd.,€1.50m,in,Summer,1.5,Premier League,1992,1992/1993,England
Manchester United,Pat McGibbon,18.0,Centre-Back,Portadown,€225Th.,in,Summer,0.225,Premier League,1992,1992/1993,England
Crystal Palace,Chris Armstrong,21.0,Centre-Forward,Millwall,€1.00m,in,Summer,1.0,Premier League,1992,1992/1993,England
Crystal Palace,Darren Patterson,22.0,Right-Back,Wigan,€340Th.,in,Summer,0.34,Premier League,1992,1992/1993,England
Nottingham Forest,Neil Webb,28.0,Central Midfield,Man Utd,€925Th.,in,Summer,0.925,Premier League,1992,1992/1993,England
Ipswich Town,Geraint Williams,30.0,Defensive Midfield,Derby,€750Th.,in,Summer,0.75,Premier League,1992,1992/1993,England
Arsenal FC,John Jensen,27.0,Central Midfield,Bröndby IF,€1.60m,in,Summer,1.6,Premier League,1992,1992/1993,England
Chelsea FC,Nigel Spackman,31.0,Central Midfield,Rangers,€600Th.,in,Summer,0.6,Premier League,1992,1992/1993,England
Chelsea FC,Anthony Barness,19.0,Right-Back,Charlton,€525Th.,in,Summer,0.525,Premier League,1992,1992/1993,England
Chelsea FC,David Hopkin,22.0,Right Midfield,Morton,€450Th.,in,Summer,0.45,Premier League,1992,1992/1993,England
Chelsea FC,Mick Harford,33.0,Centre-Forward,Luton,€350Th.,in,Summer,0.35,Premier League,1992,1992/1993,England
Chelsea FC,Mal Donaghy,34.0,Left-Back,Man Utd,€200Th.,in,Summer,0.2,Premier League,1992,1992/1993,England
Aston Villa,Dean Saunders,28.0,Centre-Forward,Liverpool,€2.85m,in,Summer,2.85,Premier League,1992,1992/1993,England
Aston Villa,Ray Houghton,30.0,Central Midfield,Liverpool,€1.08m,in,Summer,1.08,Premier League,1992,1992/1993,England
Leeds United,David Rocastle,25.0,Attacking Midfield,Arsenal,€2.40m,in,Summer,2.4,Premier League,1992,1992/1993,England
Leeds United,Kevin Sharp,18.0,Left-Back,AJ Auxerre U19,€90Th.,in,Summer,0.09,Premier League,1992,1992/1993,England
Sheffield United,Alan Kelly,23.0,Goalkeeper,Preston,€210Th.,in,Summer,0.21,Premier League,1992,1992/1993,England
Southampton FC,Perry Groves,27.0,Left Winger,Arsenal,€850Th.,in,Summer,0.85,Premier League,1992,1992/1993,England
Southampton FC,Ken Monkou,27.0,Centre-Back,Chelsea,€844Th.,in,Summer,0.844,Premier League,1992,1992/1993,England
Southampton FC,Kerry Dixon,30.0,Centre-Forward,Chelsea,€650Th.,in,Summer,0.65,Premier League,1992,1992/1993,England
Southampton FC,David Speedie,32.0,Centre-Forward,Blackburn,€600Th.,in,Summer,0.6,Premier League,1992,1992/1993,England
Blackburn Rovers,Alan Shearer,21.0,Centre-Forward,Southampton,€4.50m,in,Summer,4.5,Premier League,1992,1992/1993,England
Blackburn Rovers,Stuart Ripley,24.0,Right Winger,Middlesbrough,€2.00m,in,Summer,2.0,Premier League,1992,1992/1993,England
Blackburn Rovers,Tim Sherwood,23.0,Central Midfield,Norwich,€750Th.,in,Summer,0.75,Premier League,1992,1992/1993,England
Blackburn Rovers,Patrik Andersson,20.0,Centre-Back,Malmö FF,€500Th.,in,Summer,0.5,Premier League,1992,1992/1993,England
Blackburn Rovers,Lee Makel,19.0,Attacking Midfield,Newcastle,€240Th.,in,Summer,0.24,Premier League,1992,1992/1993,England
Blackburn Rovers,Wayne Burnett,20.0,midfield,Leyton Orient,€96Th.,in,Summer,0.096,Premier League,1992,1992/1993,England
Tottenham Hotspur,Teddy Sheringham,26.0,Centre-Forward,Nottm Forest,€3.15m,in,Summer,3.15,Premier League,1992,1992/1993,England
Tottenham Hotspur,Darren Anderton,20.0,Right Midfield,Portsmouth,€2.70m,in,Summer,2.7,Premier League,1992,1992/1993,England
Tottenham Hotspur,Jason Cundy,22.0,Centre-Back,Chelsea,€875Th.,in,Summer,0.875,Premier League,1992,1992/1993,England
Tottenham Hotspur,Neil Ruddock,24.0,Centre-Back,Southampton,€850Th.,in,Summer,0.85,Premier League,1992,1992/1993,England
Liverpool FC,Paul Stewart,27.0,Defensive Midfield,Spurs,€2.75m,in,Summer,2.75,Premier League,1992,1992/1993,England
Liverpool FC,David James,21.0,Goalkeeper,Watford,€1.40m,in,Summer,1.4,Premier League,1992,1992/1993,England
Everton FC,Paul Rideout,28.0,Centre-Forward,Rangers,€583Th.,in,Summer,0.583,Premier League,1992,1992/1993,England
Everton FC,Preki,29.0,Attacking Midfield,Storm,€120Th.,in,Summer,0.12,Premier League,1992,1992/1993,England
Middlesbrough FC,Derek Whyte,24.0,Centre-Back,Celtic,€1.25m,in,Winter,1.25,Premier League,1992,1992/1993,England
Middlesbrough FC,Craig Hignett,22.0,Right Winger,Crewe Alexandra,€750Th.,in,Winter,0.75,Premier League,1992,1992/1993,England
Middlesbrough FC,Richard Liburd,19.0,defence,Eastwood Town,€24Th.,in,Winter,0.024,Premier League,1992,1992/1993,England
Oldham Athletic,Darren Beckford,25.0,Centre-Forward,Norwich,€330Th.,in,Winter,0.33,Premier League,1992,1992/1993,England
Oldham Athletic,Mark Brennan,27.0,Central Midfield,Man City,€222Th.,in,Winter,0.222,Premier League,1992,1992/1993,England
Queens Park Rangers,Devon White,28.0,attack,Cambridge Utd.,€126Th.,in,Winter,0.126,Premier League,1992,1992/1993,England
Coventry City,Micky Quinn,30.0,Centre-Forward,Newcastle,€300Th.,in,Winter,0.3,Premier League,1992,1992/1993,England
Coventry City,David Rennie,28.0,Defensive Midfield,Birmingham,€120Th.,in,Winter,0.12,Premier League,1992,1992/1993,England
Manchester United,Eric Cantona,26.0,Second Striker,Leeds,€1.80m,in,Winter,1.8,Premier League,1992,1992/1993,England
Nottingham Forest,Robert Rosario,26.0,attack,Coventry,€485Th.,in,Winter,0.485,Premier League,1992,1992/1993,England
Arsenal FC,Martin Keown,26.0,Centre-Back,Everton,€3.00m,in,Winter,3.0,Premier League,1992,1992/1993,England
Chelsea FC,Dmitri Kharin,24.0,Goalkeeper,CSKA Moscow,€400Th.,in,Winter,0.4,Premier League,1992,1992/1993,England
Chelsea FC,Steve Livingstone,23.0,Centre-Forward,Blackburn,€400Th.,in,Winter,0.4,Premier League,1992,1992/1993,England
Leeds United,David Kerslake,26.0,Right-Back,Swindon Town,€625Th.,in,Winter,0.625,Premier League,1992,1992/1993,England
Leeds United,Mark Andrew Beeney,25.0,Goalkeeper,Brighton,€350Th.,in,Winter,0.35,Premier League,1992,1992/1993,England
Leeds United,Frank Strandli,20.0,Centre-Forward,IK Start,€350Th.,in,Winter,0.35,Premier League,1992,1992/1993,England
Sheffield United,Franz Carr,26.0,Right Winger,Newcastle,€150Th.,in,Winter,0.15,Premier League,1992,1992/1993,England
Southampton FC,Frankie Bennett,24.0,Centre-Forward,Halesowen,€9Th.,in,Winter,0.009,Premier League,1992,1992/1993,England
Blackburn Rovers,Graeme Le Saux,24.0,Left-Back,Chelsea,€1.05m,in,Winter,1.05,Premier League,1992,1992/1993,England
Blackburn Rovers,Henning Berg,23.0,Right-Back,Lillestrøm,€550Th.,in,Winter,0.55,Premier League,1992,1992/1993,England
Blackburn Rovers,Simon Ireland,20.0,midfield,Huddersfield,€252Th.,in,Winter,0.252,Premier League,1992,1992/1993,England
Aston Villa,Andy Townsend,29.0,Central Midfield,Chelsea,€2.40m,in,Summer,2.4,Premier League,1993,1993/1994,England
Aston Villa,Guy Whittingham,28.0,Centre-Forward,Portsmouth,€1.80m,in,Summer,1.8,Premier League,1993,1993/1994,England
Norwich City,Spencer Prior,22.0,Centre-Back,Southend United,€250Th.,in,Summer,0.25,Premier League,1993,1993/1994,England
Queens Park Rangers,Steve Yates,23.0,defence,Bristol Rovers,€820Th.,in,Summer,0.82,Premier League,1993,1993/1994,England
Sheffield Wednesday,Andy Sinton,27.0,Left Midfield,QPR,€3.35m,in,Summer,3.35,Premier League,1993,1993/1994,England
Sheffield Wednesday,Des Walker,27.0,Centre-Back,Sampdoria,€3.00m,in,Summer,3.0,Premier League,1993,1993/1994,England
Sheffield Wednesday,Andy Pearce,27.0,Centre-Back,Coventry,€600Th.,in,Summer,0.6,Premier League,1993,1993/1994,England
Sheffield Wednesday,Adem Poric,20.0,Central Midfield,St. George Saints,€72Th.,in,Summer,0.072,Premier League,1993,1993/1994,England
Wimbledon FC,Alan Kimble,26.0,Left-Back,Cambridge Utd.,€210Th.,in,Summer,0.21,Premier League,1993,1993/1994,England
Coventry City,Mick Harford,34.0,Centre-Forward,Sunderland,€225Th.,in,Summer,0.225,Premier League,1993,1993/1994,England
Coventry City,Paul Williams,23.0,defence,Stockport,€185Th.,in,Summer,0.185,Premier League,1993,1993/1994,England
Coventry City,Julian Darby,25.0,midfield,Bolton,€180Th.,in,Summer,0.18,Premier League,1993,1993/1994,England
Coventry City,Steve Morgan,24.0,Left-Back,Plymouth,€135Th.,in,Summer,0.135,Premier League,1993,1993/1994,England
Coventry City,John Gayle,29.0,Centre-Forward,Birmingham,€120Th.,in,Summer,0.12,Premier League,1993,1993/1994,England
Coventry City,Ally Pickering,26.0,defence,Rotherham,€100Th.,in,Summer,0.1,Premier League,1993,1993/1994,England
Manchester United,Roy Keane,21.0,Defensive Midfield,Nottm Forest,€8.50m,in,Summer,8.5,Premier League,1993,1993/1994,England
Newcastle United,Peter Beardsley,32.0,Second Striker,Everton,€1.70m,in,Summer,1.7,Premier League,1993,1993/1994,England
Newcastle United,Scott Sellars,27.0,Left Midfield,Leeds,€700Th.,in,Summer,0.7,Premier League,1993,1993/1994,England
Newcastle United,Mike Hooper,29.0,Goalkeeper,Liverpool,€628Th.,in,Summer,0.628,Premier League,1993,1993/1994,England
Newcastle United,Malcolm Allen,26.0,Centre-Forward,Millwall,€350Th.,in,Summer,0.35,Premier League,1993,1993/1994,England
Newcastle United,Alex Mathie,24.0,Centre-Forward,Morton,€320Th.,in,Summer,0.32,Premier League,1993,1993/1994,England
Newcastle United,Nikodimos Papavasiliou,22.0,Left Winger,OFI Crete FC,€180Th.,in,Summer,0.18,Premier League,1993,1993/1994,England
Newcastle United,Michael Jeffrey,21.0,Centre-Forward,Doncaster,€100Th.,in,Summer,0.1,Premier League,1993,1993/1994,England
Ipswich Town,Steve Sedgley,26.0,Central Midfield,Spurs,€1.25m,in,Summer,1.25,Premier League,1993,1993/1994,England
Ipswich Town,Ian Marshall,27.0,Centre-Forward,Oldham Athletic,€1.13m,in,Summer,1.13,Premier League,1993,1993/1994,England
Chelsea FC,Gavin Peacock,25.0,midfield,Newcastle,€1.70m,in,Summer,1.7,Premier League,1993,1993/1994,England
Chelsea FC,Mark Stein,27.0,Centre-Forward,Stoke City,€1.66m,in,Summer,1.66,Premier League,1993,1993/1994,England
Chelsea FC,Jakob Kjeldbjerg,23.0,Centre-Back,Silkeborg IF,€480Th.,in,Summer,0.48,Premier League,1993,1993/1994,England
Arsenal FC,Eddie McGoldrick,28.0,Right Winger,Crystal Palace,€1.28m,in,Summer,1.28,Premier League,1993,1993/1994,England
Leeds United,Brian Deane,25.0,Centre-Forward,Sheff Utd,€4.35m,in,Summer,4.35,Premier League,1993,1993/1994,England
West Ham United,Dale Gordon,26.0,Right Midfield,Rangers,€850Th.,in,Summer,0.85,Premier League,1993,1993/1994,England
West Ham United,Simon Webster,29.0,defence,Charlton,€650Th.,in,Summer,0.65,Premier League,1993,1993/1994,England
West Ham United,Lee Chapman,33.0,Centre-Forward,Portsmouth,€313Th.,in,Summer,0.313,Premier League,1993,1993/1994,England
West Ham United,Keith Rowland,21.0,Left-Back,Bournemouth,€165Th.,in,Summer,0.165,Premier League,1993,1993/1994,England
Swindon Town,Jan Aage Fjörtoft,26.0,Centre-Forward,Rapid Vienna,€700Th.,in,Summer,0.7,Premier League,1993,1993/1994,England
Swindon Town,Adrian Richard Whitbread,21.0,Centre-Back,Leyton Orient,€623Th.,in,Summer,0.623,Premier League,1993,1993/1994,England
Swindon Town,Andy Mutch,29.0,attack,Wolves,€310Th.,in,Summer,0.31,Premier League,1993,1993/1994,England
Sheffield United,Willie Falconer,27.0,Centre-Forward,Middlesbrough,€600Th.,in,Summer,0.6,Premier League,1993,1993/1994,England
Sheffield United,Rob Scott,19.0,Right-Back,Sutton Utd,€25Th.,in,Summer,0.025,Premier League,1993,1993/1994,England
Manchester City,Alan Kernaghan,26.0,Centre-Back,Middlesbrough,€2.40m,in,Summer,2.4,Premier League,1993,1993/1994,England
Manchester City,Carl Griffiths,21.0,Centre-Forward,Shrewsbury,€600Th.,in,Summer,0.6,Premier League,1993,1993/1994,England
Manchester City,Alfons Groenendijk,29.0,Defensive Midfield,Ajax,€341Th.,in,Summer,0.341,Premier League,1993,1993/1994,England
Southampton FC,Paul Allen,30.0,Right Midfield,Spurs,€660Th.,in,Summer,0.66,Premier League,1993,1993/1994,England
Southampton FC,Simon Charlton,21.0,Left-Back,Huddersfield,€350Th.,in,Summer,0.35,Premier League,1993,1993/1994,England
Blackburn Rovers,Paul Warhurst,23.0,Centre-Back,Sheff Wed,€3.75m,in,Summer,3.75,Premier League,1993,1993/1994,England
Blackburn Rovers,Ian Pearce,19.0,Centre-Back,Chelsea,€450Th.,in,Summer,0.45,Premier League,1993,1993/1994,England
Tottenham Hotspur,Jason Dozzell,25.0,Central Midfield,Ipswich,€2.40m,in,Summer,2.4,Premier League,1993,1993/1994,England
Tottenham Hotspur,David Kerslake,27.0,Right-Back,Leeds,€563Th.,in,Summer,0.563,Premier League,1993,1993/1994,England
Liverpool FC,Neil Ruddock,25.0,Centre-Back,Spurs,€3.00m,in,Summer,3.0,Premier League,1993,1993/1994,England
Liverpool FC,Nigel Clough,27.0,Attacking Midfield,Nottm Forest,€2.75m,in,Summer,2.75,Premier League,1993,1993/1994,England
Liverpool FC,Julian Dicks,25.0,Left-Back,West Ham,€2.25m,in,Summer,2.25,Premier League,1993,1993/1994,England
Everton FC,Graham Stuart,22.0,Attacking Midfield,Chelsea,€1.28m,in,Summer,1.28,Premier League,1993,1993/1994,England
Aston Villa,Scott Murray,19.0,Right Midfield,Fraserburgh,€50Th.,in,Winter,0.05,Premier League,1993,1993/1994,England
Norwich City,Neil Adams,28.0,Right-Back,Oldham Athletic,€375Th.,in,Winter,0.375,Premier League,1993,1993/1994,England
Oldham Athletic,Sean McCarthy,26.0,attack,Bradford,€628Th.,in,Winter,0.628,Premier League,1993,1993/1994,England
Sheffield Wednesday,Simon Coleman,25.0,Centre-Back,Derby,€382Th.,in,Winter,0.382,Premier League,1993,1993/1994,England
Wimbledon FC,Marcus Gayle,23.0,Centre-Forward,Brentford,€375Th.,in,Winter,0.375,Premier League,1993,1993/1994,England
Newcastle United,Ruel Fox,26.0,Right Winger,Norwich,€2.50m,in,Winter,2.5,Premier League,1993,1993/1994,England
Newcastle United,Chris Holland,18.0,Central Midfield,Preston,€119Th.,in,Winter,0.119,Premier League,1993,1993/1994,England
Leeds United,John Pemberton,28.0,Centre-Back,Sheff Utd,€313Th.,in,Winter,0.313,Premier League,1993,1993/1994,England
West Ham United,Malcolm McPherson,19.0,Centre-Forward,Yeovil Town,€36Th.,in,Winter,0.036,Premier League,1993,1993/1994,England
Swindon Town,Brian Kilcline,31.0,Centre-Back,Newcastle,€113Th.,in,Winter,0.113,Premier League,1993,1993/1994,England
Sheffield United,Nathan Blake,21.0,Centre-Forward,Cardiff,€420Th.,in,Winter,0.42,Premier League,1993,1993/1994,England
Manchester City,David Rocastle,26.0,Attacking Midfield,Leeds,€2.40m,in,Winter,2.4,Premier League,1993,1993/1994,England
Manchester City,Uwe Rösler,25.0,Centre-Forward,1.FC Nuremberg,€1.00m,in,Winter,1.0,Premier League,1993,1993/1994,England
Manchester City,Paul Walsh,31.0,Centre-Forward,Portsmouth,€850Th.,in,Winter,0.85,Premier League,1993,1993/1994,England
Southampton FC,Jim Magilton,24.0,Right Midfield,Oxford United,€800Th.,in,Winter,0.8,Premier League,1993,1993/1994,England
Southampton FC,Neil Heaney,22.0,Right Winger,Arsenal,€380Th.,in,Winter,0.38,Premier League,1993,1993/1994,England
Southampton FC,Dave Beasant,34.0,Goalkeeper,Chelsea,€380Th.,in,Winter,0.38,Premier League,1993,1993/1994,England
Southampton FC,Craig Maskell,25.0,Centre-Forward,Swindon Town,€350Th.,in,Winter,0.35,Premier League,1993,1993/1994,England
Blackburn Rovers,Tim Flowers,26.0,Goalkeeper,Southampton,€3.80m,in,Winter,3.8,Premier League,1993,1993/1994,England
Blackburn Rovers,David Batty,25.0,Defensive Midfield,Leeds,€3.78m,in,Winter,3.78,Premier League,1993,1993/1994,England
Tottenham Hotspur,Kevin Scott,27.0,Centre-Back,Newcastle,€1.10m,in,Winter,1.1,Premier League,1993,1993/1994,England
Tottenham Hotspur,Ronny Rosenthal,30.0,Left Winger,Liverpool,€300Th.,in,Winter,0.3,Premier League,1993,1993/1994,England
Tottenham Hotspur,Micky Hazard,33.0,Central Midfield,Swindon Town,€55Th.,in,Winter,0.055,Premier League,1993,1993/1994,England
Everton FC,Anders Limpar,28.0,Attacking Midfield,Arsenal,€1.90m,in,Winter,1.9,Premier League,1993,1993/1994,England
Everton FC,Brett Angell,25.0,Centre-Forward,Southend United,€500Th.,in,Winter,0.5,Premier League,1993,1993/1994,England
Everton FC,Joe Parkinson,22.0,midfield,Bournemouth,€375Th.,in,Winter,0.375,Premier League,1993,1993/1994,England
Ipswich Town,Claus Thomsen,24.0,Centre-Back,Aarhus GF,€350Th.,in,Summer,0.35,Premier League,1994,1994/1995,England
Ipswich Town,Mauricio Taricco,21.0,Left-Back,Argentinos Jrs.,€245Th.,in,Summer,0.245,Premier League,1994,1994/1995,England
Norwich City,Jon Newsome,23.0,Right-Back,Leeds,€1.50m,in,Summer,1.5,Premier League,1994,1994/1995,England
Norwich City,Mike Sheron,22.0,Centre-Forward,Man City,€1.38m,in,Summer,1.38,Premier League,1994,1994/1995,England
Norwich City,Carl Bradshaw,25.0,Right-Back,Sheff Utd,€580Th.,in,Summer,0.58,Premier League,1994,1994/1995,England
Queens Park Rangers,Steve Hodge,31.0,Central Midfield,Leeds,€360Th.,in,Summer,0.36,Premier League,1994,1994/1995,England
Sheffield Wednesday,Ian Nolan,24.0,Left-Back,Tranmere Rovers,€2.25m,in,Summer,2.25,Premier League,1994,1994/1995,England
Sheffield Wednesday,Peter Atherton,24.0,Right-Back,Coventry,€1.15m,in,Summer,1.15,Premier League,1994,1994/1995,England
Leicester City,Mark Draper,23.0,Central Midfield,Notts County,€1.88m,in,Summer,1.88,Premier League,1994,1994/1995,England
Leicester City,Franz Carr,28.0,Right Winger,Sheff Utd,€120Th.,in,Summer,0.12,Premier League,1994,1994/1995,England
Wimbledon FC,Efan Ekoku,27.0,Centre-Forward,Norwich,€750Th.,in,Summer,0.75,Premier League,1994,1994/1995,England
Wimbledon FC,Mick Harford,35.0,Centre-Forward,Coventry,€55Th.,in,Summer,0.055,Premier League,1994,1994/1995,England
Coventry City,Dion Dublin,25.0,Centre-Forward,Man Utd,€3.00m,in,Summer,3.0,Premier League,1994,1994/1995,England
Coventry City,Steven Pressley,20.0,Centre-Back,Rangers,€900Th.,in,Summer,0.9,Premier League,1994,1994/1995,England
Manchester United,David May,24.0,Centre-Back,Blackburn,€2.10m,in,Summer,2.1,Premier League,1994,1994/1995,England
Manchester United,Graeme Tomlinson,18.0,attack,Bradford,€120Th.,in,Summer,0.12,Premier League,1994,1994/1995,England
Crystal Palace,Darren Pitcher,24.0,Right-Back,Charlton,€890Th.,in,Summer,0.89,Premier League,1994,1994/1995,England
Newcastle United,Darren Peacock,26.0,Centre-Back,QPR,€5.00m,in,Summer,5.0,Premier League,1994,1994/1995,England
Newcastle United,Paul Kitson,23.0,Centre-Forward,Derby,€3.38m,in,Summer,3.38,Premier League,1994,1994/1995,England
Newcastle United,Marc Hottiger,26.0,Right-Back,FC Sion,€800Th.,in,Summer,0.8,Premier League,1994,1994/1995,England
Newcastle United,Steve Guppy,25.0,Left Winger,Wycombe,€200Th.,in,Summer,0.2,Premier League,1994,1994/1995,England
Nottingham Forest,Kevin Campbell,24.0,Centre-Forward,Arsenal,€4.20m,in,Summer,4.2,Premier League,1994,1994/1995,England
Nottingham Forest,Bryan Roy,24.0,Left Winger,Foggia,€2.50m,in,Summer,2.5,Premier League,1994,1994/1995,England
Arsenal FC,Stefan Schwarz,25.0,Central Midfield,Benfica,€1.00m,in,Summer,1.0,Premier League,1994,1994/1995,England
Arsenal FC,Lee Harper,22.0,Goalkeeper,Sittingbourne FC,€180Th.,in,Summer,0.18,Premier League,1994,1994/1995,England
Chelsea FC,Paul Furlong,25.0,Centre-Forward,Watford,€3.50m,in,Summer,3.5,Premier League,1994,1994/1995,England
Chelsea FC,David Rocastle,27.0,Attacking Midfield,Man City,€1.48m,in,Summer,1.48,Premier League,1994,1994/1995,England
Chelsea FC,Scott Minto,22.0,Left-Back,Charlton,€1.15m,in,Summer,1.15,Premier League,1994,1994/1995,England
Aston Villa,John Fashanu,31.0,Centre-Forward,Wimbledon FC,€1.62m,in,Summer,1.62,Premier League,1994,1994/1995,England
Aston Villa,Phil King,26.0,Left-Back,Sheff Wed,€240Th.,in,Summer,0.24,Premier League,1994,1994/1995,England
Leeds United,Carlton Palmer,28.0,Defensive Midfield,Sheff Wed,€3.15m,in,Summer,3.15,Premier League,1994,1994/1995,England
Leeds United,Nigel Worthington,32.0,Left-Back,Sheff Wed,€400Th.,in,Summer,0.4,Premier League,1994,1994/1995,England
Leeds United,Lucas Radebe,25.0,Centre-Back,Kaizer Chiefs,€375Th.,in,Summer,0.375,Premier League,1994,1994/1995,England
West Ham United,Don Hutchison,19.0,Attacking Midfield,Liverpool,€2.25m,in,Summer,2.25,Premier League,1994,1994/1995,England
West Ham United,Marc Rieper,26.0,Centre-Back,Bröndby IF,€1.70m,in,Summer,1.7,Premier League,1994,1994/1995,England
West Ham United,Julian Dicks,26.0,Left-Back,Liverpool,€1.50m,in,Summer,1.5,Premier League,1994,1994/1995,England
West Ham United,Joey Beauchamp,23.0,Left Midfield,Oxford United,€1.40m,in,Summer,1.4,Premier League,1994,1994/1995,England
West Ham United,Adrian Richard Whitbread,22.0,Centre-Back,Swindon Town,€623Th.,in,Summer,0.623,Premier League,1994,1994/1995,England
Manchester City,Nicky Summerbee,22.0,Right Midfield,Swindon Town,€2.25m,in,Summer,2.25,Premier League,1994,1994/1995,England
Southampton FC,Peter Whiston,26.0,Centre-Back,Exeter City,€38Th.,in,Summer,0.038,Premier League,1994,1994/1995,England
Blackburn Rovers,Chris Sutton,21.0,Centre-Forward,Norwich,€7.50m,in,Summer,7.5,Premier League,1994,1994/1995,England
Tottenham Hotspur,Ilie Dumitrescu,25.0,Left Winger,Steaua Bucharest,€3.70m,in,Summer,3.7,Premier League,1994,1994/1995,England
Tottenham Hotspur,Gheorghe Popescu,26.0,Centre-Back,PSV Eindhoven,€2.90m,in,Summer,2.9,Premier League,1994,1994/1995,England
Tottenham Hotspur,Jürgen Klinsmann,29.0,Centre-Forward,Monaco,€2.75m,in,Summer,2.75,Premier League,1994,1994/1995,England
Liverpool FC,Phil Babb,23.0,Centre-Back,Coventry,€5.43m,in,Summer,5.43,Premier League,1994,1994/1995,England
Liverpool FC,John Scales,28.0,Centre-Back,Wimbledon FC,€4.10m,in,Summer,4.1,Premier League,1994,1994/1995,England
Liverpool FC,Michael Stensgaard,19.0,Goalkeeper,Hvidovre,€480Th.,in,Summer,0.48,Premier League,1994,1994/1995,England
Everton FC,Daniel Amokachi,21.0,Centre-Forward,Club Brugge,€3.50m,in,Summer,3.5,Premier League,1994,1994/1995,England
Everton FC,Gary Rowett,20.0,Right-Back,Cambridge Utd.,€280Th.,in,Summer,0.28,Premier League,1994,1994/1995,England
Ipswich Town,Chris Swailes,24.0,Centre-Back,Doncaster,€338Th.,in,Winter,0.338,Premier League,1994,1994/1995,England
Ipswich Town,Lee Chapman,35.0,Centre-Forward,West Ham,€88Th.,in,Winter,0.088,Premier League,1994,1994/1995,England
Sheffield Wednesday,Guy Whittingham,30.0,Centre-Forward,Aston Villa,€1.00m,in,Winter,1.0,Premier League,1994,1994/1995,England
Sheffield Wednesday,O'Neill Donaldson,25.0,Centre-Forward,Doncaster,€57Th.,in,Winter,0.057,Premier League,1994,1994/1995,England
Leicester City,Mark Robins,25.0,Centre-Forward,Norwich,€1.25m,in,Winter,1.25,Premier League,1994,1994/1995,England
Leicester City,Garry Parker,29.0,Central Midfield,Aston Villa,€450Th.,in,Winter,0.45,Premier League,1994,1994/1995,England
Wimbledon FC,Öyvind Leonhardsen,24.0,Attacking Midfield,Rosenborg,€975Th.,in,Winter,0.975,Premier League,1994,1994/1995,England
Wimbledon FC,Kenny Cunningham,23.0,Centre-Back,Millwall,€900Th.,in,Winter,0.9,Premier League,1994,1994/1995,England
Wimbledon FC,Jon Goodman,23.0,Centre-Forward,Millwall,€650Th.,in,Winter,0.65,Premier League,1994,1994/1995,England
Coventry City,David Burrows,26.0,Left-Back,Everton,€1.65m,in,Winter,1.65,Premier League,1994,1994/1995,England
Coventry City,John Filan,24.0,Goalkeeper,Cambridge Utd.,€600Th.,in,Winter,0.6,Premier League,1994,1994/1995,England
Coventry City,Mike Marsh,25.0,Central Midfield,West Ham,€550Th.,in,Winter,0.55,Premier League,1994,1994/1995,England
Coventry City,Kevin Richardson,32.0,Central Midfield,Aston Villa,€380Th.,in,Winter,0.38,Premier League,1994,1994/1995,England
Manchester United,Andy Cole,23.0,Centre-Forward,Newcastle,€9.60m,in,Winter,9.6,Premier League,1994,1994/1995,England
Crystal Palace,Iain Dowie,30.0,Centre-Forward,Southampton,€500Th.,in,Winter,0.5,Premier League,1994,1994/1995,England
Crystal Palace,Ray Houghton,33.0,Central Midfield,Aston Villa,€359Th.,in,Winter,0.359,Premier League,1994,1994/1995,England
Newcastle United,Keith Gillespie,19.0,Right Midfield,Man Utd,€1.50m,in,Winter,1.5,Premier League,1994,1994/1995,England
